ID,Name,Creator (screenshot),Category,Planning min g (NOT verified),Planning max g (NOT verified),Proposed W x D x H cm (NOT measured),Estimated price min JPY,Estimated price max JPY,Verified weight g,Verified dimensions mm,Verification status,Model URL,Search URL,Original screenshot
P016,Divine Mini Temple,Cyber Doc,Temples & festive,100,190,10.0 x 10.0 x 17.0,640,1046,,,Awaiting exact model and sliced A1 mini profile,,https://makerworld.com/en/search/models?keyword=Divine%20Mini%20Temple%20Cyber%20Doc,originals/printables/Screenshot 2026-09-06 at 21.47.28.png
P017,Mini Bud Vases · Set of 5,Mirarin,Vases & planters,30,60,3.0 x 3.0 x 7.0,152,304,,,Awaiting exact model and sliced A1 mini profile,,https://makerworld.com/en/search/models?keyword=Mini%20Bud%20Vases%20%C2%B7%20Set%20of%205%20Mirarin,originals/printables/Screenshot 2026-09-06 at 21.47.34.png
P018,Lotus Incense Ornament,Helena,Temples & festive,35,70,10.0 x 10.0 x 3.0,219,388,,,Awaiting exact model and sliced A1 mini profile,,https://makerworld.com/en/search/models?keyword=Lotus%20Incense%20Ornament%20Helena,originals/printables/Screenshot 2026-09-06 at 21.47.38.png
P019,Lotus Flower Ornament,Creator shown in original image,Temples & festive,35,75,10.0 x 10.0 x 5.0,219,405,,,Awaiting exact model and sliced A1 mini profile,,https://makerworld.com/en/search/models?keyword=Lotus%20Flower%20Ornament%20Creator%20shown%20in%20original%20image,originals/printables/Screenshot 2026-09-06 at 21.47.44.png
P020,Pooja Pot,Dkgarnga,Temples & festive,15,35,5.0 x 5.0 x 4.0,125,219,,,Awaiting exact model and sliced A1 mini profile,,https://makerworld.com/en/search/models?keyword=Pooja%20Pot%20Dkgarnga,originals/printables/Screenshot 2026-09-06 at 21.47.49.png
P021,Golden Dragon Boat,SparklingStar,Home décor,80,150,16.0 x 7.0 x 11.0,422,710,,,Awaiting exact model and sliced A1 mini profile,,https://makerworld.com/en/search/models?keyword=Golden%20Dragon%20Boat%20SparklingStar,originals/printables/Screenshot 2026-09-06 at 21.47.54.png
P022,Decorative Sailboat,DireChris,Home décor,35,70,11.0 x 5.0 x 15.0,219,388,,,Awaiting exact model and sliced A1 mini profile,,https://makerworld.com/en/search/models?keyword=Decorative%20Sailboat%20DireChris,originals/printables/Screenshot 2026-09-06 at 21.48.00.png
P023,Krishna Playing Flute,MonsieurPierre,God figures,60,120,8.0 x 7.0 x 16.0,354,608,,,Awaiting exact model and sliced A1 mini profile,,https://makerworld.com/en/search/models?keyword=Krishna%20Playing%20Flute%20MonsieurPierre,originals/printables/Screenshot 2026-09-06 at 21.48.04.png
P024,Shiva Statue,Kartik,God figures,90,170,11.0 x 10.0 x 15.0,531,878,,,Awaiting exact model and sliced A1 mini profile,,https://makerworld.com/en/search/models?keyword=Shiva%20Statue%20Kartik,originals/printables/Screenshot 2026-09-06 at 21.48.09.png
P025,Ganesha · Classic,MonsieurPierre,God figures,70,140,9.0 x 8.0 x 14.0,388,676,,,Awaiting exact model and sliced A1 mini profile,,https://makerworld.com/en/search/models?keyword=Ganesha%20%C2%B7%20Classic%20MonsieurPierre,originals/printables/Screenshot 2026-09-06 at 21.48.14.png
P026,Sacred Cow with Calf,VedicFutura,God figures,90,170,14.0 x 9.0 x 12.0,531,878,,,Awaiting exact model and sliced A1 mini profile,,https://makerworld.com/en/search/models?keyword=Sacred%20Cow%20with%20Calf%20VedicFutura,originals/printables/Screenshot 2026-09-06 at 21.48.18.png
P027,Ruffled Modern Vase,Rocky00780,Vases & planters,40,85,9.0 x 9.0 x 15.0,286,489,,,Awaiting exact model and sliced A1 mini profile,,https://makerworld.com/en/search/models?keyword=Ruffled%20Modern%20Vase%20Rocky00780,originals/printables/Screenshot 2026-09-06 at 21.48.23.png
P028,Twist Vase · Vase Mode,Munark,Vases & planters,30,65,8.0 x 8.0 x 15.0,202,371,,,Awaiting exact model and sliced A1 mini profile,,https://makerworld.com/en/search/models?keyword=Twist%20Vase%20%C2%B7%20Vase%20Mode%20Munark,originals/printables/Screenshot 2026-09-06 at 21.48.37.png
P029,Acanthus Leaf Vase,DeskForm Studio,Vases & planters,80,150,10.0 x 10.0 x 17.0,422,710,,,Awaiting exact model and sliced A1 mini profile,,https://makerworld.com/en/search/models?keyword=Acanthus%20Leaf%20Vase%20DeskForm%20Studio,originals/printables/Screenshot 2026-09-06 at 21.48.47.png
P030,Biting Shark Fidget,printchallenge,Toys & fidgets,25,50,11.0 x 6.0 x 5.0,135,270,,,Awaiting exact model and sliced A1 mini profile,https://makerworld.com/en/models/1721287-biting-shark-fidget,https://makerworld.com/en/search/models?keyword=Biting%20Shark%20Fidget%20printchallenge,originals/printables/Screenshot 2026-09-06 at 21.48.52.png
P031,Cute Arctic Fox,Better_Berry,Toys & fidgets,35,70,7.0 x 8.0 x 12.0,219,388,,,Awaiting exact model and sliced A1 mini profile,,https://makerworld.com/en/search/models?keyword=Cute%20Arctic%20Fox%20Better_Berry,originals/printables/Screenshot 2026-09-06 at 21.48.57.png
P032,Fairy Garden Vase,DeskForm Studio,Vases & planters,90,170,10.0 x 10.0 x 17.0,531,878,,,Awaiting exact model and sliced A1 mini profile,,https://makerworld.com/en/search/models?keyword=Fairy%20Garden%20Vase%20DeskForm%20Studio,originals/printables/Screenshot 2026-09-06 at 21.49.03.png
P033,Minimalist Deer,pozsar,Home décor,25,55,7.0 x 4.0 x 16.0,135,287,,,Awaiting exact model and sliced A1 mini profile,,https://makerworld.com/en/search/models?keyword=Minimalist%20Deer%20pozsar,originals/printables/Screenshot 2026-09-06 at 21.49.07.png
P034,Mother in Love,NoWayOut1980,Gifts & keychains,65,125,10.0 x 7.0 x 15.0,371,625,,,Awaiting exact model and sliced A1 mini profile,,https://makerworld.com/en/search/models?keyword=Mother%20in%20Love%20NoWayOut1980,originals/printables/Screenshot 2026-09-06 at 21.49.13.png
P035,Reclining Ganesh,EzzySziggy,God figures,100,180,14.0 x 9.0 x 11.0,640,1012,,,Awaiting exact model and sliced A1 mini profile,,https://makerworld.com/en/search/models?keyword=Reclining%20Ganesh%20EzzySziggy,originals/printables/Screenshot 2026-09-06 at 21.49.17.png
P036,Ganesha · Ornate Crown,Allu3D,God figures,80,155,10.0 x 8.0 x 15.0,497,827,,,Awaiting exact model and sliced A1 mini profile,,https://makerworld.com/en/search/models?keyword=Ganesha%20%C2%B7%20Ornate%20Crown%20Allu3D,originals/printables/Screenshot 2026-09-06 at 21.49.21.png
P037,Lord Ganesh,Ramik,God figures,85,165,11.0 x 9.0 x 15.0,514,861,,,Awaiting exact model and sliced A1 mini profile,,https://makerworld.com/en/search/models?keyword=Lord%20Ganesh%20Ramik,originals/printables/Screenshot 2026-09-06 at 21.49.25.png
P038,Divine Desk Temple of Ganesha,Prints of Aari,Temples & festive,120,220,12.0 x 11.0 x 17.0,708,1148,,,Awaiting exact model and sliced A1 mini profile,,https://makerworld.com/en/search/models?keyword=Divine%20Desk%20Temple%20of%20Ganesha%20Prints%20of%20Aari,originals/printables/Screenshot 2026-09-06 at 21.49.30.png
P039,Monstera Leaf Wall Art,LumiArte,Home décor,20,45,12.0 x 0.5 x 17.0,125,253,,,Awaiting exact model and sliced A1 mini profile,,https://makerworld.com/en/search/models?keyword=Monstera%20Leaf%20Wall%20Art%20LumiArte,originals/printables/Screenshot 2026-09-06 at 21.49.35.png
P040,Goddess Durga Murti,SAMMIIB,God figures,100,190,12.0 x 9.0 x 17.0,640,1046,,,Awaiting exact model and sliced A1 mini profile,,https://makerworld.com/en/search/models?keyword=Goddess%20Durga%20Murti%20SAMMIIB,originals/printables/Screenshot 2026-09-06 at 21.49.40.png
P041,Mosque Lantern,3dstain,Temples & festive,45,90,9.0 x 8.0 x 14.0,303,506,,,Awaiting exact model and sliced A1 mini profile,,https://makerworld.com/en/search/models?keyword=Mosque%20Lantern%203dstain,originals/printables/Screenshot 2026-09-06 at 21.49.45.png
P042,Ramadan Geometric Lantern,KadirGFX,Temples & festive,65,125,9.0 x 9.0 x 16.0,371,625,,,Awaiting exact model and sliced A1 mini profile,,https://makerworld.com/en/search/models?keyword=Ramadan%20Geometric%20Lantern%20KadirGFX,originals/printables/Screenshot 2026-09-06 at 21.49.50.png
P043,Rocky · Project Hail Mary,user_397787226,Toys & fidgets,50,100,14.0 x 12.0 x 10.0,320,540,,,Awaiting exact model and sliced A1 mini profile,,https://makerworld.com/en/search/models?keyword=Rocky%20%C2%B7%20Project%20Hail%20Mary%20user_397787226,originals/printables/Screenshot 2026-09-06 at 21.49.56.png
P044,Murugan · God of War,Jeyk,God figures,110,210,14.0 x 9.0 x 17.0,674,1114,,,Awaiting exact model and sliced A1 mini profile,,https://makerworld.com/en/search/models?keyword=Murugan%20%C2%B7%20God%20of%20War%20Jeyk,assets/murugan-photo.jpg
P045,Spiral Vase · Slender,Zamz3D,Vases & planters,35,75,8.0 x 8.0 x 16.0,219,405,,,Awaiting exact model and sliced A1 mini profile,,https://makerworld.com/en/search/models?keyword=Spiral%20Vase%20%C2%B7%20Slender%20Zamz3D,originals/printables/Screenshot 2026-09-06 at 21.50.12.png
P046,Vessels of Devotion Vase,Varizi17,Vases & planters,65,130,10.0 x 9.0 x 16.0,371,642,,,Awaiting exact model and sliced A1 mini profile,,https://makerworld.com/en/search/models?keyword=Vessels%20of%20Devotion%20Vase%20Varizi17,originals/printables/Screenshot 2026-09-06 at 21.50.16.png
P047,Interlocking Vases,3D Memory,Vases & planters,60,120,14.0 x 6.0 x 14.0,354,608,,,Awaiting exact model and sliced A1 mini profile,,https://makerworld.com/en/search/models?keyword=Interlocking%20Vases%203D%20Memory,originals/printables/Screenshot 2026-09-06 at 21.50.21.png
P048,Double Tree Pot,uni3Dworld,Vases & planters,90,180,12.0 x 10.0 x 17.0,531,912,,,Awaiting exact model and sliced A1 mini profile,,https://makerworld.com/en/search/models?keyword=Double%20Tree%20Pot%20uni3Dworld,originals/printables/Screenshot 2026-09-06 at 21.50.26.png
P049,Elliptic Resonance Mesh Vase,Maxx Design,Vases & planters,50,100,10.0 x 10.0 x 16.0,320,540,,,Awaiting exact model and sliced A1 mini profile,,https://makerworld.com/en/search/models?keyword=Elliptic%20Resonance%20Mesh%20Vase%20Maxx%20Design,originals/printables/Screenshot 2026-09-06 at 21.50.32.png
P050,Bold Sculptural Vase,VASEE,Vases & planters,45,95,9.0 x 9.0 x 16.0,303,523,,,Awaiting exact model and sliced A1 mini profile,,https://makerworld.com/en/search/models?keyword=Bold%20Sculptural%20Vase%20VASEE,originals/printables/Screenshot 2026-09-06 at 21.50.37.png
P051,Spiral Vase · Flow,Zamz3D,Vases & planters,35,80,8.0 x 8.0 x 16.0,219,422,,,Awaiting exact model and sliced A1 mini profile,,https://makerworld.com/en/search/models?keyword=Spiral%20Vase%20%C2%B7%20Flow%20Zamz3D,originals/printables/Screenshot 2026-09-06 at 21.50.42.png
P052,Diwali Flower Diya Holder,alkybudgies,Temples & festive,25,55,12.0 x 12.0 x 2.0,135,287,,,Awaiting exact model and sliced A1 mini profile,,https://makerworld.com/en/search/models?keyword=Diwali%20Flower%20Diya%20Holder%20alkybudgies,originals/printables/Screenshot 2026-09-06 at 21.50.50.png
P053,Varaha · Third Avatar of Vishnu,VedicFutura,God figures,65,130,7.0 x 7.0 x 17.0,371,642,,,Awaiting exact model and sliced A1 mini profile,,https://makerworld.com/en/search/models?keyword=Varaha%20%C2%B7%20Third%20Avatar%20of%20Vishnu%20VedicFutura,originals/printables/Screenshot 2026-09-06 at 21.50.56.png
P054,Vishnu · Universal Form,VedicFutura,God figures,110,210,12.0 x 7.0 x 17.0,674,1114,,,Awaiting exact model and sliced A1 mini profile,,https://makerworld.com/en/search/models?keyword=Vishnu%20%C2%B7%20Universal%20Form%20VedicFutura,originals/printables/Screenshot 2026-09-06 at 21.51.02.png
P055,Goddess Lakshmi,LabsA1User,God figures,80,155,11.0 x 9.0 x 14.0,497,827,,,Awaiting exact model and sliced A1 mini profile,,https://makerworld.com/en/search/models?keyword=Goddess%20Lakshmi%20LabsA1User,originals/printables/Screenshot 2026-09-06 at 21.51.07.png
P056,Elegant Dress Vase,MY LIGHT,Vases & planters,40,85,7.0 x 7.0 x 17.0,286,489,,,Awaiting exact model and sliced A1 mini profile,,https://makerworld.com/en/search/models?keyword=Elegant%20Dress%20Vase%20MY%20LIGHT,originals/printables/Screenshot 2026-09-06 at 21.51.12.png
P057,Modern Petal Vase,UROB3D,Vases & planters,60,120,11.0 x 10.0 x 15.0,354,608,,,Awaiting exact model and sliced A1 mini profile,,https://makerworld.com/en/search/models?keyword=Modern%20Petal%20Vase%20UROB3D,originals/printables/Screenshot 2026-09-06 at 21.51.19.png
P058,Saint Mary Figurine,Z9FLO,God figures,55,110,6.0 x 6.0 x 16.0,337,574,,,Awaiting exact model and sliced A1 mini profile,,https://makerworld.com/en/search/models?keyword=Saint%20Mary%20Figurine%20Z9FLO,originals/printables/Screenshot 2026-09-06 at 21.51.25.png
P059,Jesus Christ Statue,Juganof,God figures,70,140,10.0 x 7.0 x 16.0,388,676,,,Awaiting exact model and sliced A1 mini profile,,https://makerworld.com/en/search/models?keyword=Jesus%20Christ%20Statue%20Juganof,originals/printables/Screenshot 2026-09-06 at 21.51.30.png
P060,Seated Buddha,FormCore 3D,God figures,70,140,10.0 x 8.0 x 13.0,388,676,,,Awaiting exact model and sliced A1 mini profile,,https://makerworld.com/en/search/models?keyword=Seated%20Buddha%20FormCore%203D,originals/printables/Screenshot 2026-09-06 at 21.51.37.png
P061,Vishnu & Lakshmi on the Divine Snake,VedicFutura,God figures,120,220,16.0 x 10.0 x 13.0,708,1148,,,Awaiting exact model and sliced A1 mini profile,,https://makerworld.com/en/search/models?keyword=Vishnu%20%26%20Lakshmi%20on%20the%20Divine%20Snake%20VedicFutura,originals/printables/Screenshot 2026-09-06 at 21.51.43.png
P062,Lakshmi · Lotus Throne & Kirtimukham,VedicFutura,God figures,100,190,11.0 x 8.0 x 17.0,640,1046,,,Awaiting exact model and sliced A1 mini profile,,https://makerworld.com/en/search/models?keyword=Lakshmi%20%C2%B7%20Lotus%20Throne%20%26%20Kirtimukham%20VedicFutura,originals/printables/Screenshot 2026-09-06 at 21.51.47.png
P063,Lakshmi on a Lotus Throne,VedicFutura,God figures,90,170,10.0 x 8.0 x 15.0,531,878,,,Awaiting exact model and sliced A1 mini profile,,https://makerworld.com/en/search/models?keyword=Lakshmi%20on%20a%20Lotus%20Throne%20VedicFutura,originals/printables/Screenshot 2026-09-06 at 21.51.52.png
P064,Saraswati · Hamsavahini,VedicFutura,God figures,95,180,12.0 x 9.0 x 16.0,548,912,,,Awaiting exact model and sliced A1 mini profile,,https://makerworld.com/en/search/models?keyword=Saraswati%20%C2%B7%20Hamsavahini%20VedicFutura,originals/printables/Screenshot 2026-09-06 at 21.51.57.png
P065,Krishna’s Flute,VedicFutura,God figures,70,140,8.0 x 7.0 x 16.0,388,676,,,Awaiting exact model and sliced A1 mini profile,,https://makerworld.com/en/search/models?keyword=Krishna%E2%80%99s%20Flute%20VedicFutura,originals/printables/Screenshot 2026-09-06 at 21.52.02.png
P066,Goddess Mahalakshmi,Chroma3D,God figures,80,155,10.0 x 8.0 x 15.0,497,827,,,Awaiting exact model and sliced A1 mini profile,,https://makerworld.com/en/search/models?keyword=Goddess%20Mahalakshmi%20Chroma3D,originals/printables/Screenshot 2026-09-06 at 21.52.06.png
P067,Shiva in Meditation,VedicFutura,God figures,85,165,11.0 x 9.0 x 15.0,514,861,,,Awaiting exact model and sliced A1 mini profile,,https://makerworld.com/en/search/models?keyword=Shiva%20in%20Meditation%20VedicFutura,originals/printables/Screenshot 2026-09-06 at 21.52.11.png
P068,Lord Ganesha · High Detail,Alok_Makes,God figures,100,190,12.0 x 10.0 x 16.0,640,1046,,,Awaiting exact model and sliced A1 mini profile,,https://makerworld.com/en/search/models?keyword=Lord%20Ganesha%20%C2%B7%20High%20Detail%20Alok_Makes,originals/printables/Screenshot 2026-09-06 at 21.52.16.png
P069,"Shiva, Parvati, Ganesha & Nandi",Kartik,God figures,130,240,17.0 x 10.0 x 15.0,742,1216,,,Awaiting exact model and sliced A1 mini profile,,https://makerworld.com/en/search/models?keyword=Shiva%2C%20Parvati%2C%20Ganesha%20%26%20Nandi%20Kartik,originals/printables/Screenshot 2026-09-06 at 21.52.21.png
P070,Floating Dripping Candle Holder,pozsar,Home décor,25,55,6.0 x 6.0 x 12.0,135,287,,,Awaiting exact model and sliced A1 mini profile,https://makerworld.com/en/models/1842354-floating-dripping-candle-led-tealight-holder,https://makerworld.com/en/search/models?keyword=Floating%20Dripping%20Candle%20Holder%20pozsar,originals/printables/Screenshot 2026-09-06 at 21.53.25.png
P071,Mini Vase Fridge Magnet,elikoll,Gifts & keychains,8,18,3.0 x 2.0 x 5.0,125,175,,,Awaiting exact model and sliced A1 mini profile,,https://makerworld.com/en/search/models?keyword=Mini%20Vase%20Fridge%20Magnet%20elikoll,originals/printables/Screenshot 2026-09-06 at 21.53.30.png
P072,Stealth Wall Planter,Deltaprints,Vases & planters,50,100,12.0 x 8.0 x 12.0,320,540,,,Awaiting exact model and sliced A1 mini profile,,https://makerworld.com/en/search/models?keyword=Stealth%20Wall%20Planter%20Deltaprints,originals/printables/Screenshot 2026-09-06 at 21.53.36.png
P073,Lace Doily Decoration,Studio Trozzole,Home décor,15,35,15.0 x 15.0 x 0.2,125,219,,,Awaiting exact model and sliced A1 mini profile,,https://makerworld.com/en/search/models?keyword=Lace%20Doily%20Decoration%20Studio%20Trozzole,originals/printables/Screenshot 2026-09-06 at 21.53.40.png
P074,Lord Murugan with Peacock Miniature,Cyber Doc,God figures,13,25,8.0 x 6.0 x 14.0,425,585,,,Awaiting exact model and sliced A1 mini profile,,https://makerworld.com/en/search/models?keyword=Lord%20Murugan%20with%20Peacock%20Miniature%20Cyber%20Doc,assets/print-074.jpg
P075,Bala Murugan with Vel,YGEN Sculpt Studio,God figures,60,120,7.0 x 6.0 x 14.0,354,608,,,Awaiting exact model and sliced A1 mini profile,,https://makerworld.com/en/search/models?keyword=Bala%20Murugan%20with%20Vel%20YGEN%20Sculpt%20Studio,assets/print-075.jpg
